6.000000000000000000e+00,9.600000000000000000e+02,1.833000000000000000e+03,2.693000000000000000e+03,3.582000000000000000e+03,4.376000000000000000e+03
5.000000000000000000e+00,7.890000000000000000e+02,1.487000000000000000e+03,2.173000000000000000e+03,2.868000000000000000e+03,3.520000000000000000e+03
5.000000000000000000e+00,8.500000000000000000e+02,1.602000000000000000e+03,2.373000000000000000e+03,3.151000000000000000e+03,3.856000000000000000e+03
4.000000000000000000e+00,6.800000000000000000e+02,1.283000000000000000e+03,1.871000000000000000e+03,2.473000000000000000e+03,3.035000000000000000e+03
4.000000000000000000e+00,7.510000000000000000e+02,1.427000000000000000e+03,2.082000000000000000e+03,2.762000000000000000e+03,3.380000000000000000e+03
4.000000000000000000e+00,7.020000000000000000e+02,1.352000000000000000e+03,2.000000000000000000e+03,2.665000000000000000e+03,3.303000000000000000e+03
6.000000000000000000e+00,1.517000000000000000e+03,2.902000000000000000e+03,4.258000000000000000e+03,5.640000000000000000e+03,6.925000000000000000e+03
4.000000000000000000e+00,6.420000000000000000e+02,1.230000000000000000e+03,1.809000000000000000e+03,2.402000000000000000e+03,2.966000000000000000e+03
5.000000000000000000e+00,7.130000000000000000e+02,1.351000000000000000e+03,1.974000000000000000e+03,2.616000000000000000e+03,3.216000000000000000e+03
5.000000000000000000e+00,9.030000000000000000e+02,1.712000000000000000e+03,2.515000000000000000e+03,3.344000000000000000e+03,4.082000000000000000e+03
5.000000000000000000e+00,9.730000000000000000e+02,1.851000000000000000e+03,2.707000000000000000e+03,3.600000000000000000e+03,4.391000000000000000e+03
4.000000000000000000e+00,5.570000000000000000e+02,1.063000000000000000e+03,1.567000000000000000e+03,2.057000000000000000e+03,2.537000000000000000e+03
3.000000000000000000e+00,4.410000000000000000e+02,8.510000000000000000e+02,1.282000000000000000e+03,1.706000000000000000e+03,2.136000000000000000e+03
4.000000000000000000e+00,7.460000000000000000e+02,1.417000000000000000e+03,2.069000000000000000e+03,2.741000000000000000e+03,3.367000000000000000e+03
6.000000000000000000e+00,1.494000000000000000e+03,2.838000000000000000e+03,4.174000000000000000e+03,5.510000000000000000e+03,6.778000000000000000e+03
5.000000000000000000e+00,9.270000000000000000e+02,1.750000000000000000e+03,2.566000000000000000e+03,3.407000000000000000e+03,4.151000000000000000e+03
